Observation id,Observation date,Description,Observation duration,Observation type,Source,Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Modifier #2,Behavior type,Time,Media file name,Image index,Image file path,Comment
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,other,,STOP,261.767,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,7854,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,breath,,see blowholes,,POINT,266.233,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,7988,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,other,,START,270.167,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,8106,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,other,,STOP,283.366,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,NA,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,ventral side,,START,283.367,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,8502,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,nursing,,only milk present,directly under,START,374.567,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,11238,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,nursing,,only milk present,directly under,STOP,378.8,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,11365,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,ventral side,,STOP,445.199,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,NA,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,other,,START,445.2,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,13357,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,other,,STOP,457.233,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,13718,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,breath,,see blowholes,,POINT,475.933,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,14279,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,other,,START,478.833,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,14366,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,3rd whale present,,,,START,480.333,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,14411,NA,
