Observation id,Observation date,Description,Observation duration,Observation type,Source,Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Behavior type,Time,Media file name,Image index,Image file path,Comment
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,3rd whale present,,,START,296.467,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,8895,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,3rd whale present,,,STOP,308.400,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,9253,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,mother present,,other,STOP,309.466,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,NA,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,mother present,,None,START,309.467,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,9285,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,breath,,see blowholes,POINT,310.800,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,9325,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,3rd whale present,,,START,315.300,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,9460,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,3rd whale present,,,STOP,331.000,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,9931,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,breath,,see blowholes,POINT,333.300,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,10000,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,breath,,see blowholes,POINT,349.333,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,10481,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,breath,,see blowholes,POINT,358.700,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,10762,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,mother present,,None,STOP,361.599,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,NA,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,mother present,,other,START,361.600,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,10849,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,3rd whale present,,,START,368.200,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,11047,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,breath,,see blowholes,POINT,372.167,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,11166,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,3rd whale present,,,STOP,375.700,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,11272,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,mother present,,other,STOP,376.766,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,NA,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,mother present,,None,START,376.767,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,11304,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,3rd whale present,,,START,379.567,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,11388,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,breath,,see blowholes,POINT,397.200,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,11917,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,mother present,,None,STOP,399.932,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,NA,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,mother present,,other,START,399.933,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,11999,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,3rd whale present,,,STOP,409.967,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,12300,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,breath,,see blowholes,POINT,411.633,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,12350,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,mother present,,other,STOP,414.799,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,NA,NA,
